Comments,NEG,NEU,POS,Compound,Sentiment
I have a great boss. No need to take PTO for today or tomorrow. Just eating snacks and watching you. You're doing a great job,0.075,0.646,0.279,0.7906,POS
"We all want to know, when do you sleep or what’s in your coffee?!",0.0,0.891,0.109,0.1511,POS
I'm a mom in Minnesota who greatly appreciates you! Watching your streaming was superb. Even a Minnesotan understood. My son listens to you always. Thank you for getting him to go someplace safe!,0.0,0.664,0.336,0.9284,POS
Does She realize how much the Tampa Bay area needs you? ,0.0,1.0,0.0,0.0,NEU
You have to do your best to see a lighter side of this. Everyone has done such a good job of getting it done.. all we can do now is PUSH (pray until something happens) !!,0.0,0.806,0.194,0.8264,POS
"you definitely deserve some PTO very, very soon! We cannot thank you enough for all you (and your team) are doing 24/7 for us around the Bay Area! Keeping us somewhat sane… God bless you!",0.051,0.755,0.193,0.7026,POS
We need some humor at a time like this. So appreciate your hard work and dedication. I hope you get some of that PTO after all this. Then you focus on your Halloween decorations and enjoy the fall. Hopefully.,0.035,0.624,0.341,0.9291,POS
I don’t know how you do it Denis Phillips! How do you survive with no sleep?!!! I guess that diet Dr Pepper really works! Thanks for always keeping us updated,0.068,0.799,0.134,0.4847,POS
Ahhhh thank you! I needed a good laugh. Hope when this finally passes you get a chance to relax and unwind.,0.0,0.412,0.588,0.9441,POS
"Thank you Denis Phillips!
You shoot straight with grace and you are appreciated!",0.112,0.372,0.516,0.8264,POS
"Good luck with that! 🤣 But in all seriousness, stay safe and thank you for all of the great things you do for our community. Forever grateful, neighbor! ",0.031,0.47,0.5,0.9682,POS
"PTO = ""Prepare The Others""",0.0,1.0,0.0,0.0,NEU
"The comedic relief is much appreciated! Barely know you, already love you Denis.",0.0,0.398,0.602,0.9273,POS
"You deserve a meaningful vacation and a Raise . You are working above and beyond, your dedication and commitment serving the community is priceless. ❤️❤️❤️ May God Bless you more good health !!",0.0,0.648,0.352,0.9114,POS
You can take Friday for a mental health day. We need you today and tomorrow. ,0.0,1.0,0.0,0.0,NEU
You can be sure that we are all praying for you during these storms.,0.0,0.714,0.286,0.5859,POS
"You deserve a month off, after December 1st, of course! Thank you for keeping us stable, Denis Phillips!",0.0,0.739,0.261,0.6467,POS
Hang in there Denis Phillips it’s a wild ride these last few weeks. I lived in Florida a few years back and I watch closely. Thank you for your continuous support and positivity in this sad time,0.076,0.714,0.209,0.6597,POS
I’m out all week. I hope they don’t mind.,0.0,0.707,0.293,0.4404,POS
Thank you for making me laugh. I needed it. You're doing amazing and we appreciate you and the others at the station! Thank you for all your hard work,0.036,0.567,0.397,0.9324,POS
You are just getting to take all the breaks you already had but prioritized everyone else before yourself! Recharge and know how grateful everyone is for your work.,0.0,0.863,0.137,0.6476,POS
God bless you and your team. God bless us all. I am ready!! WOOHOO!!!!,0.0,0.373,0.627,0.9094,POS
"Just being here through it felt like a full time job! My body is aching from the stress and anxiety. I think you
U deserve few days off! Thank you for helping us ",0.21,0.608,0.182,-0.2695,NEG
Thank you for being there for all of us! We appreciate you and all the teams who put their personal health and well being on the back burner. We know you're exhausted. Thank you!!!,0.059,0.683,0.258,0.816,POS
You deserve a good vacation after all of this. Thank you Denis,0.0,0.609,0.391,0.698,POS
Said you and a million + others. 🤣 Never one to wish time to fly by but why can’t it be next week yet???,0.098,0.902,0.0,-0.289,NEG
You definitely deserve some time off to distress from taking care of all of us. We so appreciate it.,0.122,0.54,0.338,0.7177,POS
It was a good try! But Nobody’s letting you off today! You are our sense of calm & our focus point in the storms! ,0.0,0.776,0.224,0.6981,POS
"Personally, I want to thank you Denis Phillips 🙏🏼🫶🏼 You’re the real 🐐👏🏼👏🏼 you’re not only great at your craft, but you help keep me and my family both calm and safe every time. Thank you for all you and your team does, well done. Now SLEEP!!!",0.036,0.632,0.333,0.9507,POS
"You're the only weatherman we trust. I appreciate your calmness and guidance without the hipe. You deserve 2 months off with pay, just please wait until hurricane season is over.",0.04,0.65,0.311,0.8625,POS
Someone send him diet Dr Pepper stat!!,0.0,1.0,0.0,0.0,NEU
I for one and I’m sure I speak for many others would be lost without your sage directive in times like these. Thank you so much for all you do.,0.068,0.714,0.217,0.6124,POS
Thank you for getting through this storm! What a roller coaster of emotions we experienced!,0.0,0.808,0.192,0.4738,POS
Love your humor in the midst of all this stress. 🤣Thank you for making me laugh! You are the BEST! God bless you Denis!!!,0.079,0.413,0.508,0.9562,POS
"We love you Denis Phillips!! Thank you for being our man!!
Stay safe ",0.0,0.482,0.518,0.8949,POS
"The words ""thank you"" are enormously inadequate to express the gratitude for the tireless work your and your team have been doing over the past several weeks, and especially the recent days - and yet, they're what we have.
Thank you, Denis Phillips and team. Florida is grateful.",0.053,0.746,0.201,0.8078,POS
We appreciate all your dedication and updates for your Florida communities amidst your own family. Be safe!,0.0,0.718,0.282,0.7088,POS
