OK. Let's see your hurricane snacks.,Pos,Neu,Neg,Compound,Overall Sentiment
yodels 😊,0.0,1.0,0.0,0.0,NEU
that too.,0.0,1.0,0.0,0.0,NEU
I did the same 😂 fruit and trail mix … I hate that 😂,0.0,0.684,0.316,-0.5719,NEG
Dark and Stormy,0.0,1.0,0.0,0.0,NEU
so good,0.762,0.238,0.0,0.4927,POS
yumm,0.0,1.0,0.0,0.0,NEU
just saw a sky that looked like your drink haha,0.44,0.56,0.0,0.6705,POS
wow! Super cool!,1.0,0.0,0.0,0.8906,POS
"Sometimes, like today up in Maine where Ginger beer and black rum is scarce I make it with just Gingerale and Captain Morgan's. I call it a Partly Cloudy 🤣🤣🤣",0.088,0.912,0.0,0.3612,POS
"whatever makes you happy!",0.571,0.429,0.0,0.6114,POS
"yum! What is that??",0.0,1.0,0.0,0.0,NEU
"ginger beer, lime juice, Gosling black rum floater",0.0,1.0,0.0,0.0,NEU
I make mine with out the lime.,0.0,1.0,0.0,0.0,NEU
my favorite,0.75,0.25,0.0,0.4588,POS
"Little Debbie Cosmic Brownies and Little Debbie Swiss Cake Rolls.. 🤣😋😋",0.0,1.0,0.0,0.0,NEU
"turns the best!!",0.705,0.295,0.0,0.6988,POS
them is the best!,0.6,0.4,0.0,0.6696,POS
"Yes they are!!!",0.641,0.359,0.0,0.5538,POS
I’m ready!,0.736,0.264,0.0,0.4199,POS
"address please? Lol",0.836,0.164,0.0,0.6249,POS
Breakfast Fritatta. Recipe in comment.,0.0,1.0,0.0,0.0,NEU
"oooh I want the recipe!!",0.386,0.614,0.0,0.2225,POS
"in a shallow, greased baking dish 8 oz grated sharp cheddar tossed with tbl flour, top with 4 oz grated pepperjack, 2 jalapenos diced, 10 banquet sausage links sliced, 6 eggs whisked with 1/4 cup half and half, tbl worcestershire and black pepper. Pour over sausage, cheese, jalapenos.. Top with 2 diced roma tomatoes and fresh basil. Bake at 350 for 25-30 or until it looks like the pic.",0.125,0.875,0.0,0.7506,POS
wow! Thank you!!!!,0.882,0.118,0.0,0.816,POS
thank you!! You’re so sweet and generous for sharing your recipe. The frittata looks so beautiful and delicious I will be making it!!♥️,0.588,0.412,0.0,0.9746,POS
"Looks so yummy!",0.666,0.334,0.0,0.6105,POS
recipe?,0.0,1.0,0.0,0.0,NEU
"in a shallow baking dish 8 oz grated sharp cheddar tossed with tbl flour, top with 4 oz grated pepperjack, 2 jalapenos diced, 10 banquet sausage links sliced, 6 eggs whisked with 1/4 cup half and half, tbl worcestershire and black pepper. Pour over sausage, cheese, jalapenos.. Top with 2 diced roma tomatoes and fresh basil. Bake at 350 for 25-30 or until it looks like the pic.",0.127,0.873,0.0,0.7506,POS
