"Tropical Storm Watches and Warnings! What you need to know
We've got a lot to talk about. Tracking what should be Debby in the Gulf later this weekend.   That's right now on DPL.",Pos,Neu,Neg,Compound,Overall Sentiment
Do you think Orlando will be part of the 2” - 5” of rain potential?,0.0,1.0,0.0,0.0,NEU
Orlando airports on Sunday morning?,0.0,1.0,0.0,0.0,NEU
"I’m in Nokomis and my pets are back home in Panama City. We will be back Monday, sort of uncomfortable lol. We have someone watching them but still. That’s what I get for going on vacay.",0.048,0.899,0.053,-0.0498,NEU
Do you think they will keep the big rigs off the road for Sunday due to high winds?,0.0,1.0,0.0,0.0,NEU
Driving Savannah ga Saturday through Wednesday? What kind of weather expected while there?,0.0,1.0,0.0,0.0,NEU
Working at ZooTampa on Sunday. Will I need a snorkel?,0.0,1.0,0.0,0.0,NEU
how will the rain be in Miami?,0.0,1.0,0.0,0.0,NEU
Daytona beach/ormond by the sea?,0.0,1.0,0.0,0.0,NEU
"St Pete’s beach trip from Thursday to Tuesday, going to be ok?
✅",0.167,0.833,0.0,0.296,POS
The storm is gone by then,0.0,1.0,0.0,0.0,NEU
Chance be a cat 1 hurricane once hit gulf warm water ?,0.358,0.642,0.0,0.4404,POS
THIS,0.0,1.0,0.0,0.0,NEU
Flying to Tampa Monday ?,0.0,1.0,0.0,0.0,NEU
I'm too broke to go to Disney or fly anywhere...,0.0,0.763,0.237,-0.4215,NEG
"Would I be able to get an upgraded seat if my flight gets delayed??",0.0,0.842,0.158,-0.3094,NEG
Just tuning in….what is rule #7? My friend mentioned it and I need to know,0.198,0.802,0.0,0.4939,POS
Issues driving home to St Pete from Tampa Saturday night around midnight. Don't want to be stuck on Howard Franklin,0.0,0.848,0.152,-0.3009,NEG
"How is Dunedin looking?",0.0,1.0,0.0,0.0,NEU
"omg 😂",0.0,1.0,0.0,0.0,NEU
